canterbury_sn8777_1987_0.375m-2193,01H51X9FGP1CAA0HSHGV4PHMGK
canterbury_sn9381_1994_0.75m-2193,01H51ZFAZNN9GT5E3HMT5T3TPF
canterbury_sn9447_1995_0.75m-2193,01H5205V66GGDCQDXFW1VCKTDB
canterbury_snc25051_2000_0.75m-2193,01H52450YDH71N6JY2669EX91W
canterbury_snc25053_2001_0.75m-2193,01H5246SCTYP9DH66QPDYBWHY8
canterbury_snc25054_2000-2001_0.75m-2193,01H524D1273CJ9QDCFM7RWDKS6
canterbury_snc30000_2002_0.75m-2193,01H525CX45GXMXFH64EDH6A7J0
canterbury_snc30009_2003_0.75m-2193,01H526JJJVVZJ1JSA7XYC63KE0
canterbury_west-coast_sn8595_1986-1987_0.96m-2193,01H51VVFBCK1K51Q38PP1GBSAE
christchurch-post-earthquake_24-february-2011_0.1m-rgb,01H0HHXAJRPTZ4RGY291ZZQVRA
christchurch_2015-2016_0.075m-rgb,01GSR3FCJE4TBXZ2YD5D0ZCYGJ
christchurch_2018-2019_0.075m-rgb,01GSE3V417FCPJPMFTS74VBXZR
christchurch_2018_0.075m-rgb,01GYBVY2NP2KBJ25S89E302YPE
christchurch_2020-2021_0.075m-rgb,01GSY1N10TQEPGS0MK8G1TVJZK
christchurch_2021_0.05m-rgb,01GSXGBRTTAW08QX644H918PYZ
hurunui_2013_0.125m-rgb,01GSP79V6HNP64GNN9RTY4YTRB
hurunui_2018-2019_0.075m-rgb,01GSS0XG93DV94AS2MJRB1STX4
kaikoura-earthquake_2016-2017_0.3m-rgb,01GYB46Y9YXBNDAE94T4E41G08
kaikoura-earthquake_2016_0.2m-rgb,01H0HJNREMVEVH5R51Y4WGFRWE
mackenzie_2020_0.075m-rgb,01GSY1K1Y2SDHW1WY9T35NZJMG
mackenzie_2021_0.3m-rgb,01GSX8XMZ2EVD2RM3F5593RS4T
selwyn_2012-2013_0.125m-rgb,01GSNTAET558YAW9QTGSCAP995
selwyn_2018-2019_0.075m-rgb,01GSXWVZ0QW5ZNK6DNTDSX00N7
selwyn_2019_0.075m-rgb,01GSVM1JVPM2AB16V6810JN031
selwyn_2020-2021_0.075m-rgb,01GSXHJ8DGCVZ56G34R0QX62W6
timaru_2012-2013_0.075m-rgb,01GSNTX7ETM4YKCD9HF6W0ERMB
timaru_2020_0.075m-rgb,01GSX8XMYAZRYWGQVD7WWJ4FA4
waimakariri_2013-2014_0.075m-rgb,01GSP57SBT5KKAT39Z9PXNE18M
waimakariri_2015-2016_0.075m-rgb,01GSRN8RQWX45GVAQRB0NKB5KA
waimakariri_2021_0.05m-rgb,01GSVGECSZKBY3T00F5D6Z2A53
waimakariri_2023_0.1m-rgb,01H4M56A4TVM8CCTY7QCSYCEXK
waimate_2018_0.075m-rgb,01GSRRK8SECJASF5NVEP940HSE
waimate_2020_0.075m-rgb,01GSVGECSXSAD24PJ0EP5FD9ZS
waimate_2021_0.075m-rgb,01GKSMTCH2MF6ZR7609RMAP946
waitaki_2020-2021_0.075m-rgb,01GSY1KKAGQ0J765HD04FNXJQ9
waitaki_2021_0.3m-rgb,01GSX8XMXVYN68D7FRKYEEXT89
gisborne-cyclone-gabrielle_2023_0.2m-rgb,01GWP8GVYJ3H035S9J2SRWBFW6
gisborne_2012-2013_0.4m-rgb,01GSE3Z3TX4BD90TC3NWJYYZWB
gisborne_2012_0.125m-rgb,01GYX8ZS7XX1Z44Y8T22RPBASR
gisborne_2017-2018_0.1m-rgb,01GYBVY2KG30W9TM09VEWM1ZF0
gisborne_2017-2019_0.3m-rgb,01GSS0XGDSFR3QAS0JVSMPQEA0
gisborne_2021-2023_0.2m-rgb,01H2PE8P39YZVR276VWQ9QJ2HK
gisborne_2022-2023_0.1m-rgb,01GWG71Y9B36EQZXF2FEANSAWE
gisborne_bay-of-plenty_sn5766_1980_0.375m-2193,01H51KGP1CKTRGRW1Q1VJ8V8PT
gisborne_sn12540_1998_0.75m-2193,01H50YGWEQBRBDF1NWSG8J9VDR
gisborne_sn8132_1982_0.375m-2193,01H51NQ53R1KV6PC69B70MGWQC
gisborne_sn8418_1984-1985_0.375m-2193,01H51RP9ETYXYPEDFNBMQ5XPWV
gisborne_sn8538_1985_0.375m-2193,01H51TD56RCKPKERDGWQJBPWYM
gisborne_sn8941_1988_0.15m-2193,01H51XSSFJ53TZ4KQXNKPWQKY5
gisborne_snc25046_2000_0.75m-2193,01H523NZCMD81FYH3D3V47TNMN
gisborne_snc8309_1983_0.4m-2193,01H52976CXSHHN68VPQX2FG6N4
central-hawkes-bay_2017-2018_0.1m-rgb,01GYAZMW7P8AR5SXVBBRDC00P6
hastings-district_2014-2015_0.1m-rgb,01GSRRK8PNHYD8DSCW8XXY55MA
hastings_2017-2018_0.1m-rgb,01GYB46Y7HRAZ4V4FRWH0RPXZM
hawkes-bay-cyclone-gabrielle_2023_0.1m-rgb,01GTE4ZWCXRGNX6W0VC3SR6VJ5
hawkes-bay_2014-2015_0.3m-rgb,01GSPFZPQK06C93WAMN500WM8S
hawkes-bay_2019-2020_0.3m-rgb,01GSS0XG878VFBBYC6MHZRKN12
hawkes-bay_2021-2022_0.3m-rgb,01GSXS7PYXDC5ZM0E1M96GVTEZ
hawkes-bay_2022_0.05m-rgb,01GSXV06PJSF18FRAE6ER6601J
hawkes-bay_2022_0.1m-rgb,01GSXTX3QD74VAKHVJQE82Z6JN
hawkes-bay_bay-of-plenty_snc50516_2004_0.75m-2193,01H527YRY35A0XZKYSD5FG334C
hawkes-bay_manawatu-whanganui_sn5752_1980_0.375m-2193,01H51K757EPW4T9RJC2K91DQ5S
hawkes-bay_manawatu-whanganui_sn5761_1980_0.375m-2193,01H51KECT7NDQAN1JTN78FTC2V
hawkes-bay_manawatu-whanganui_snc30001_2002_0.75m-2193,01H525J39W8FG7SYMHJRVA5CTM
hawkes-bay_sn7786_1989_0.48m-2193,01H51MYTHM77P1P5NZJE96WYKZ
hawkes-bay_sn8675_1986_0.375m-2193,01H51W6423VD6N6GS1V6YV62VN
hawkes-bay_sn8985_1988_0.4m-2193,01H51XVB9VPHYQ09GD11M8BWC7
hawkes-bay_sn9037_1989_0.75m-2193,01H51Y2P6HP5839GMJSPH16G91
hawkes-bay_sn9410_1995_0.375m-2193,01H51ZSJW6SVEGFB57TECW439G
hawkes-bay_sn9452_1995_0.375m-2193,01H520F274JG83CMWKZ870HSD0
hawkes-bay_sn9485_1995-1996_0.375m-2193,01H520RWYP1RWCHFGTE6R24M8A
hawkes-bay_sn9585_1996_0.8m-2193,01H5219YC4F6WC7YAKCV2BPQXP
hawkes-bay_snc50126_2003_0.6m-2193,01H52712ZGJBY5NGT0G138ZJE1
hawkes-bay_snc50450_2004_0.75m-2193,01H52741SDZNPARDYH82JK258H
hawkes-bay_snc50518_2004_0.75m-2193,01H52857HM1C7YX7M6RQNYM554
hawkes-bay_snc50519_2004_0.64m-2193,01H528888WKJ3WWE4ZQR5TW4R9
hawkes-bay_snc50520_2004_0.64m-2193,01H528C7H72XCYBFGWPGMRZCN1
hawkes-bay_snc8912_1987_0.375m-2193,01H52AZCZ8MMND0FAQ25DDT8D0
hawkes-bay_waikato_sn8260_1983_0.75m-2193,01H51PSY2AEXSFHE3KQHWV6R4W
napier_2017-2018_0.05m-rgb,01GYAZMW8KV1KZ0C69KE2CZ2MB
napier_2017-2018_0.1m-rgb,01GYAZMW8F0GGH69ZE8GNXDNEM
wairoa_2014-2015_0.1m-rgb,01GSPFZMJP6CWE1B0C98H6E11P
manawatu-whanganui_2010-2011_0.4m-rgb,01GYXCC7823GVKF6BJA6K354TR
manawatu-whanganui_2015-2016_0.3m-rgb,01GY9F9JQEXTRR5AYS1FQVVT1S
manawatu-whanganui_2016-2017_0.3m-rgb,01GY9A7RKPDS4WMWSKRCRGEQX6
manawatu-whanganui_2021-2022_0.3m-rgb,01GVC0V5HYNDWN3CBR34S53VBN
manawatu-whanganui_hawkes-bay_sn12541_1999_0.75m-2193,01H5120NQQ3XQ1D93C745F0Q2H
manawatu-whanganui_hawkes-bay_snc50517_2003_0.75m-2193,01H527ZJQ262P4SXSCA317FJ86
manawatu-whanganui_sn25017_2000_0.64m-2193,01H512GRWTYQHD2M2TPEE8G178
manawatu-whanganui_sn5291_1978_0.375m-2193,01H513PYP0FW2ZRVY3D48TCD7B
manawatu-whanganui_sn5408_1979-1980_0.375m-2193,01H513YJY0PZ2TXQGWN4XB9PCJ
manawatu-whanganui_sn8005_1982_0.8m-2193,01H51NA3JPGHZYZRH8B24DCXP6
manawatu-whanganui_sn8158_1983_0.4m-2193,01H51NV2Z6CN02FHSPNXEKXX3R
manawatu-whanganui_sn8303_1984_0.375m-2193,01H51QC5EV4DVS9K051Y3DA94C
manawatu-whanganui_sn8316_1984_0.4m-2193,01H51QK6177H3PA6JGX7A81C44
manawatu-whanganui_sn9158_1991_0.375m-2193,01H51YX3BMX85GRJK43W5BGQH1
manawatu-whanganui_sn9364_1994_0.375m-2193,01H51ZEKJ0Y8RH5R5HV00J4AGW
manawatu-whanganui_sn9470_1995-1996_0.8m-2193,01H520GGZ6578GVZY053BE8XGB
manawatu-whanganui_snc12781_2003_0.75m-2193,01H522PS9YC3GSG5RSP22C1Q2X
manawatu-whanganui_snc25045_2001_0.75m-2193,01H523CFNDEWX1GRKT3ZFF4R5E
manawatu-whanganui_snc25061_2001_0.75m-2193,01H5259DCV49TP9G12FYH2NW1F
manawatu-whanganui_snc8650_1986_0.375m-2193,01H52ABTTDPFCETWA86X4VYBZG
manawatu-whanganui_snc8914_1988_0.375m-2193,01H52ARQBNEFPC9C3ACS4HGWHZ
manawatu-whanganui_taranaki_sn8004_1982_0.75m-2193,01H51N5JC504902P42RYTC4JER
manawatu-whanganui_taranaki_sn8157_1983_0.8m-2193,01H51NRV2CBD19M8MZTRTP8DWJ
manawatu-whanganui_taranaki_sn8549_1985_0.375m-2193,01H51V08PE3PQYYTFS29WXPH5W
manawatu-whanganui_taranaki_sn8686_1986-1987_0.375m-2193,01H51WB37JASM09GH3DXZCXVH2
manawatu-whanganui_waikato_sn8440_1984-1985_0.375m-2193,01H51S96PKM133N3FTNG8K01CH
manawatu-whanganui_wellington_sn5310_1978-1979_0.375m-2193,01H513QCYP9AT2GKHQF3A6FGK8
manawatu-whanganui_wellington_sn9284_1993_0.75m-2193,01H51Z7S7AC6JXHD7QNPG2QXKC
manawatu-whanganui_wellington_sn9911_2000_0.75m-2193,01H52265TDAPBCZHAKC0HSXJQ8
manawatu_2019_0.125m-rgb,01GYC6EZFJRX8J6KJ1RK79CEYM
manawatu_2022-2023_0.1m-rgb,01H4MDJ0EG9MX5B5VJJF95T8TW
palmerston-north_2012-2013_0.125m-rgb,01GYZRRCTM2709KHGP2QEKVW3Y
palmerston-north_2014_0.4m-rgb,01GYXW6KM5JQW40C93588PJFXS
palmerston-north_2015_0.125m-rgb,01GY95TFAJGA1D75ZPBV6M3NTA
palmerston-north_2017_0.125m-rgb,01GYC1AAGWHP8J054C4RST8QVP
palmerston-north_2018_0.125m-rgb,01GSRRK8Q40K1FRQS1HCJN232T
palmerston-north_2022_0.125m-rgb,01GMP7QJX3WV1C9BWBD38NFY5J
rangitikei_2021_0.125m-rgb,01GSV7TKCHS1AP67YMGM4ZX8TE
whanganui_2013_0.1m-rgb,01GYXZ4Z2HZXPJ846Y4VTJXBS9
whanganui_2015-2016_0.1m-rgb,01GY9A7RR0300THR9JMH08BMV6
whanganui_2017_0.075m-rgb,01GYC1AAHV9PQ9BR6YJ971R28E
whanganui_2022_0.075m-rgb,01GZJ0730FFQMBFFDJB2DT9W30
marlborough_2005_0.75m-rgb,01H0HGMVXBTM0NJ723Q1T3V2VY
marlborough_2008_0.4m-rgb,01H0HGBJSGCRVNFB61VDY73GGK
marlborough_2011-2012_0.4m-rgb,01GT088TWXJ52AZEE352PPQZ23
marlborough_2015-2016_0.2m-rgb,01GSRN8RR3KCXV33XVEBJZ9JA1
marlborough_2017-2018_0.3m-rgb,01GYGFPQEZ0Z49PA93FKBGEVMT
marlborough_2017_0.1m-rgb,01GYBMMTSDTWHJ64B48TC9WSND
marlborough_2020-2021_0.1m-rgb,01GSTYW47MV21RQX82J87SNKZB
marlborough_2021-2022_0.25m-rgb,01GSXPM5P279P7KT5BNQC7HRW8
marlborough_2023_0.25m-rgb,01H6AJ03DP580PNHNSBHQRJF06
marlborough_sn5100_1977_0.75m-2193,01H512YD4ZN4T208SMVGDEP3KA
marlborough_sn5638_1979-1980_0.375m-2193,01H51JN3R1Y1H6DQ47EJDTXNDV
marlborough_sn8000_1982_0.75m-2193,01H51N2TYDEKZGCFCZQK1X5Q2Y
marlborough_sn8049_1982_0.8m-2193,01H51NG03KFYJRV40ZYVDK5KN0
marlborough_sn8200_1983_0.375m-2193,01H51PG4TWYEGT660B1DPM3JJK
marlborough_sn8262_1983_0.375m-2193,01H51PXAAYN2VAWZZCQVQGGTWW
marlborough_sn9360_1994_0.75m-2193,01H51ZDS1GRB914RG5DWF2A7HP
marlborough_sn9471_1995_0.8m-2193,01H520MC4JZY4QP2TXKKM9S0E6
marlborough_sn9586_1996_0.32m-2193,01H521DTWX9GDDMMS9KDDNHQEF
marlborough_snc25048_2000_0.75m-2193,01H523YS1VR5JZMWJ5EV8Y899T
marlborough_snc2887_1975_0.3m-2193,01H525C7HD290Q5SEM59966XKR
marlborough_snc30007_2002_0.75m-2193,01H526JHH4DM8TBM5XXJQ9EM3G
marlborough_snc8294_1983_0.375m-2193,01H5294M1HD0QXZHV12D0G665R
marlborough_tasman_canterbury_sn8452_1985_0.75m-2193,01H51SCS93CN19BZFNA55Y20HG
marlborough_tasman_sn8415_1984_0.375m-2193,01H51RH93SS6HGSN40FK89YD8A
marlborough_tasman_snc8423_1984_0.375m-2193,01H529J91K603E9PGD8X49NQ8Q
marlborough_wellington_snc50451_2004-2005_0.75m-2193,01H5275JYDEM69JFPYB8JYZMC7
nelson_2008-2009_0.5m-rgb,01H0HFQ9Q6B4VK12J8X604RYW0
nelson_2014_0.4m-rgb,01GYXW6KMQ8VK4MRJF1H6FJ8S0
nelson_2018-2019_0.3m-rgb,01GYCH6QQN399AXEMR6QTBQM7D
nelson_2022_0.075m-rgb,01GSXP2GHPTW98Q1W8H5XCXXPR
top-of-the-south-flood_2022_0.15m-rgb,01GG8ZW45194S82WN4ZYV9DRJJ
north-island_20221122_10m-rgb,01GT993WNC9H1MRT337X2MDBAC
north-island_20230220_10m-rgb,01GT7WAGJQ3SRTST7EZA2X99TX
north-island_2023_0.5m-rgb,01GTZ2JWA42DKF7FE6E1BCJKY3
north-island_2023_10m-rgb,01GV1QSN65CNTKBWF39DR8VHZ5
northland_2000_1.25m-rgb,01GYXKA24ENXFGF7NHQAQFZAXC
northland_2003_0.75m-rgb,01GYY0CNQRY5AKMFTR9JFH94S5
northland_2003_1m-rgb,01GYXV1V0S001GHCCK49XG86BS
northland_2004_0.75m-rgb,01GYXV1TZVX9SGCTPJ5X09RVCR
northland_2004_0.78m-rgb,01GYXV1TY5B8C1HWF3CAGQPWRD
northland_2006_1m-rgb,01GYXV1TYKRFVJFZKYNN077ZND
northland_2014-2015_0.1m-rgb,01GSR5N5S7RQ2C4PD84ABD1B7D
northland_2014-2016_0.4m-rgb,01GY93MM6MA315C7HE9S035CJR
northland_2016_0.1m-rgb,01GSTYRV1QJNS6ZNDA7F1W007G
northland_auckland_sn8104_1982-1983_0.4m-2193,01H51NHGP97RDR4HWZNT0P5B7C
northland_auckland_sn9482_1995-1996_0.8m-2193,01H520N8JAKA6JCTXCYDSNZD7F
northland_sn5780_1980_0.8m-2193,01H51KZKKT0NCSC9D7D4CN4C6E
northland_sn5932_1981-1982_0.375m-2193,01H51MAS18JNWDPC745JQRZGM8
northland_sn8328_1984-1986_0.8m-2193,01H51QW0ARGKN4CEKNRCN0W9RA
northland_sn9281_1993_0.6m-2193,01H51Z5WMH3ESCGG4P73P9XW5N
northland_snc12835_2005_0.64m-2193,01H522TMJ07RTTQFJFF9AXST2B
northland_snc5797_1980_0.375m-2193,01H528M3VJYX7THBB1TW88V16N
northland_snc8573_1985_0.3m-2193,01H529V16M8NEVQTE2008KDVYT
northland_snc9935_2000-2003_0.75m-2193,01H52BN6XA8VNX3YMHN2TFR28A
dunedin_2013_0.125m-rgb,01GYZRRB3VBA8A34DT3ME6D3D6
dunedin_2013_0.4m-rgb,01GSP57SCPTTKMBQF8DHE9K9D0
dunedin_2018-2019_0.1m-rgb,01GYC6EZD79G3MAMSP37X4HAQX
otago_2004-2011_0.75m-rgb,01GYZP62K8Q6Q10B33J77JWZCV
otago_2013-2014_0.4m-rgb,01GSP57SC8QNG2CYTWG27PK723
otago_2017-2019_0.3m-rgb,01GSRRK8QH8FZ6FQBCJNB58BFJ
otago_2018_0.1m-rgb,01GYCH6QVTZJY5JX3PWVVC8YJX
